É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/08/26 14:03:34

,,,,åFñ{,åFñ{,åFñ{,åFñ{
îN,åé,ì˙,éû,ãCâ∑(Åé),ìVãC,ç~êÖó (mm),ç~êÖó (mm)
,,,,,,,åªè€Ç»ÇµèÓïÒ
2023,4,15,2,14.9,10,2.5,0
2023,4,15,3,15.0,10,10.5,0
2023,4,15,4,15.1,10,10.0,0
2023,4,15,5,15.3,10,8.5,0
2023,4,15,6,15.4,10,11.5,0
2023,4,15,7,15.7,10,0.5,0
2023,4,15,8,15.9,4,0.0,0
2023,4,15,9,16.1,10,0.0,0
2023,4,15,10,16.6,4,0.0,0
2023,4,15,11,18.1,10,0.0,0
2023,4,15,12,18.8,10,0.0,0
2023,4,15,13,18.8,10,0.0,0
2023,4,15,14,18.3,10,0.0,0
2023,4,15,15,17.8,4,0.5,0
2023,4,15,16,17.4,10,0.0,0
2023,4,15,17,17.3,4,0.0,0
2023,4,15,18,17.3,4,0,1
2023,4,15,19,16.8,4,0,1
2023,4,15,20,16.5,4,0.0,0
2023,4,15,21,16.2,10,0.0,0
2023,4,15,22,15.3,4,0.0,0
2023,4,15,23,15.0,4,0,1
2023,4,15,24,14.0,2,0,1
2023,4,16,1,13.5,2,0,1
2023,4,16,2,13.6,2,0,1
2023,4,16,3,13.5,2,0,1
2023,4,16,4,12.9,2,0,1
2023,4,16,5,12.6,2,0,1
2023,4,16,6,12.1,2,0,1
2023,4,16,7,13.1,4,0.0,0
2023,4,16,8,14.6,4,0,1
2023,4,16,9,17.2,2,0,1
2023,4,16,10,18.8,4,0,1
2023,4,16,11,19.6,2,0,1
2023,4,16,12,19.8,2,0,1
2023,4,16,13,20.6,2,0,1
2023,4,16,14,19.5,2,0,1
2023,4,16,15,19.4,10,0.0,0
2023,4,16,16,19.7,2,0.0,0
2023,4,16,17,18.9,2,0,1
2023,4,16,18,18.2,2,0,1
2023,4,16,19,17.2,15,0,1
2023,4,16,20,16.7,2,0,1
2023,4,16,21,14.3,15,0.5,0
2023,4,16,22,14.2,2,0.0,0
2023,4,16,23,14.1,2,0,1
2023,4,16,24,13.4,2,0,1
2023,4,17,1,13.1,2,0,1
2023,4,17,2,11.8,2,0,1
2023,4,17,3,11.4,2,0,1
2023,4,17,4,10.5,2,0,1
2023,4,17,5,9.7,2,0,1
2023,4,17,6,9.2,2,0,1
2023,4,17,7,10.0,2,0,1
2023,4,17,8,12.3,2,0,1
2023,4,17,9,14.2,2,0,1
2023,4,17,10,17.1,2,0,1
2023,4,17,11,17.4,2,0,1
2023,4,17,12,18.9,2,0,1
2023,4,17,13,19.3,2,0,1
2023,4,17,14,19.4,2,0,1
2023,4,17,15,20.5,2,0,1
2023,4,17,16,20.3,2,0,1
2023,4,17,17,20.4,2,0,1
2023,4,17,18,19.7,2,0,1
2023,4,17,19,17.9,2,0,1
2023,4,17,20,16.2,2,0,1
2023,4,17,21,15.0,2,0,1
2023,4,17,22,14.3,2,0,1
2023,4,17,23,14.1,2,0,1
2023,4,17,24,13.5,2,0,1
2023,4,18,1,12.7,2,0,1
2023,4,18,2,11.5,2,0,1
2023,4,18,3,11.0,2,0,1
2023,4,18,4,10.8,2,0,1
2023,4,18,5,11.1,2,0,1
2023,4,18,6,10.4,2,0,1
2023,4,18,7,11.5,4,0,1
2023,4,18,8,13.4,4,0,1
2023,4,18,9,17.3,2,0,1
2023,4,18,10,20.2,2,0,1
2023,4,18,11,22.8,2,0,1
2023,4,18,12,24.6,2,0,1
2023,4,18,13,25.5,2,0,1
2023,4,18,14,26.7,2,0,1
2023,4,18,15,26.3,2,0,1
2023,4,18,16,25.1,4,0,1
2023,4,18,17,24.1,4,0,1
2023,4,18,18,23.2,4,0,1
2023,4,18,19,22.4,4,0,1
2023,4,18,20,21.8,2,0,1
2023,4,18,21,21.2,2,0,1
2023,4,18,22,21.0,4,0,1
2023,4,18,23,20.1,4,0,1
2023,4,18,24,19.7,4,0,1
2023,4,19,1,18.7,4,0,1
2023,4,19,2,19.0,4,0,1
2023,4,19,3,18.1,4,0,1
2023,4,19,4,17.9,4,0,1
2023,4,19,5,17.5,4,0,1
2023,4,19,6,17.5,4,0,1
2023,4,19,7,17.4,4,0,1
2023,4,19,8,19.2,4,0,1
2023,4,19,9,21.2,4,0,1
2023,4,19,10,22.9,4,0,1
2023,4,19,11,23.5,4,0,1
2023,4,19,12,24.0,4,0,1
2023,4,19,13,24.7,4,0,1
2023,4,19,14,24.1,4,0,1
2023,4,19,15,24.4,4,0,1
2023,4,19,16,24.2,4,0,1
2023,4,19,17,23.9,4,0,1
2023,4,19,18,22.7,4,0,1
2023,4,19,19,22.0,4,0,1
2023,4,19,20,21.0,4,0,1
2023,4,19,21,20.7,4,0,1
2023,4,19,22,20.3,4,0,1
2023,4,19,23,19.9,4,0,1
2023,4,19,24,19.8,4,0,1
2023,4,20,1,19.1,4,0,1
2023,4,20,2,18.5,4,0,1
2023,4,20,3,17.1,4,0,1
2023,4,20,4,16.9,2,0,1
2023,4,20,5,16.0,2,0,1
2023,4,20,6,16.1,2,0,1
2023,4,20,7,16.8,4,0,1
2023,4,20,8,20.6,2,0,1
2023,4,20,9,22.5,2,0,1
2023,4,20,10,23.5,2,0,1
2023,4,20,11,24.9,2,0,1
2023,4,20,12,27.1,2,0,1
2023,4,20,13,28.2,2,0,1
2023,4,20,14,28.1,2,0,1
2023,4,20,15,27.3,4,0,1
2023,4,20,16,26.5,4,0,1
2023,4,20,17,25.1,4,0,1
2023,4,20,18,23.9,4,0,1
2023,4,20,19,22.6,4,0,1
2023,4,20,20,21.8,4,0,1
2023,4,20,21,21.7,4,0,1
2023,4,20,22,21.3,4,0,1
2023,4,20,23,21.2,4,0,1
2023,4,20,24,20.0,4,0,1
2023,4,21,1,19.6,4,0,1
2023,4,21,2,19.1,4,0,1
2023,4,21,3,19.0,2,0,1
2023,4,21,4,18.5,4,0,1
2023,4,21,5,18.1,4,0,1
2023,4,21,6,18.5,4,0,1
2023,4,21,7,19.0,4,0,1
2023,4,21,8,20.3,4,0,1
2023,4,21,9,21.4,4,0,1
2023,4,21,10,22.9,4,0,1
2023,4,21,11,24.6,4,0,1
2023,4,21,12,25.0,4,0,1
2023,4,21,13,25.8,4,0,1
2023,4,21,14,26.9,4,0,1
2023,4,21,15,27.2,4,0,1
2023,4,21,16,26.9,4,0,1
2023,4,21,17,26.3,4,0,1
2023,4,21,18,23.2,4,0,1
2023,4,21,19,22.3,4,0,1
2023,4,21,20,20.8,4,0,1
2023,4,21,21,19.9,2,0,1
2023,4,21,22,18.6,2,0,1
2023,4,21,23,18.5,2,0,1
2023,4,21,24,17.1,2,0,1
2023,4,22,1,16.5,2,0,1
2023,4,22,2,15.6,2,0,1
2023,4,22,3,15.2,2,0,1
2023,4,22,4,15.9,2,0,1
2023,4,22,5,15.4,2,0,1
2023,4,22,6,15.0,2,0,1
2023,4,22,7,15.7,2,0,1
2023,4,22,8,17.5,2,0,1
2023,4,22,9,18.7,2,0,1
2023,4,22,10,21.0,2,0,1
2023,4,22,11,22.2,2,0,1
2023,4,22,12,22.6,2,0,1
2023,4,22,13,23.6,2,0,1
2023,4,22,14,24.1,2,0,1
2023,4,22,15,24.4,2,0,1
2023,4,22,16,23.7,2,0,1
2023,4,22,17,23.4,2,0,1
2023,4,22,18,21.6,2,0,1
